d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
3.0000000000000013                                2                                                 3.0000000000000013                                20000.00000000031                                 293904.32258581364+8.16396559518263i              18000.095612801542                                1.517060889049176E-14
3.0000000000000013                                2                                                 3.0000000000000013                                20000.00000000031                                 440933.2038570876+12.247844143581775i             18000.44149354033                                 4.267373165903066E-14
3.0000000000000013                                2                                                 3.0000000000000013                                20000.00000000031                                 588052.1845797176+17.08819746870727i              17206.384279458984                                9.157282561684659E-14
3.0000000000000266                                2                                                 3.0000000000000266                                15000.000000000031                                146391.11638780986+4.066312449622248i             18000.47563996337                                 2.7400195799134335E-15
3.0000000000000266                                2                                                 3.0000000000000266                                15000.000000000031                                292811.6558575453+8.133606760698395i              18000.111418738044                                1.4780401572173946E-14
3.0000000000000266                                2                                                 3.0000000000000266                                15000.000000000031                                439289.3233583203+12.202363295969048i             18000.173929563174                                4.18373933718117E-14
3.0000000000000266                                2                                                 3.0000000000000266                                15000.000000000031                                585853.0725510846+16.12704306041587i              18163.685381019248                                9.002616891714709E-14
3.0000000000000773                                2                                                 3.0000000000000773                                10000.00000000036                                 145898.8148758806+4.052651840940007i              18000.41313714761                                 2.5374083499733324E-15
3.0000000000000773                                2                                                 3.0000000000000773                                10000.00000000036                                 291821.9276683299+8.106080400319835i              18000.187097626556                                1.4008498360279693E-14
3.0000000000000773                                2                                                 3.0000000000000773                                10000.00000000036                                 437800.9932279047+12.161329570170501i             17999.7174939551                                  4.0203896262972684E-14
3.0000000000000773                                2                                                 3.0000000000000773                                10000.00000000036                                 583862.3795852237+15.967314931166722i             18283.04828025923                                 8.704264802663695E-14
2.9999999999999467                                2                                                 4.999999999999988                                 19999.999999999956                                146887.07641036384+4.080111591652214i             18000.374880786338                                2.827235070541081E-15
2.9999999999999467                                2                                                 4.999999999999988                                 19999.999999999956                                293804.3403765146+8.161194715114032i              18000.08152191279                                 1.513013460167021E-14
2.9999999999999467                                2                                                 4.999999999999988                                 19999.999999999956                                440783.26956451975+12.243960168406996i            18000.028728526875                                4.268409626549512E-14
2.9999999999999467                                2                                                 4.999999999999988                                 19999.999999999956                                587855.6879871591+16.108342424863363i             18246.932939536637                                9.196693359073314E-14
3.0000000000000804                                2                                                 5.000000000000175                                 15000.00000000004                                 146340.1315664383+4.065027109453008i              17999.896141667963                                2.7216269421705174E-15
3.0000000000000804                                2                                                 5.000000000000175                                 15000.00000000004                                 292711.1772500443+8.131848923135776i              17997.82435807878                                 1.47467072595533E-14
3.0000000000000804                                2                                                 5.000000000000175                                 15000.00000000004                                 439138.9887888767+12.19471701331788i              18005.296404553923                                4.185424171574615E-14
3.0000000000000804                                2                                                 5.000000000000175                                 15000.00000000004                                 585653.2213567301+15.427124852018347i             18981.282221234498                                9.015313985976104E-14
2.9999999999999627                                2                                                 4.999999999999918                                 10000                                             145846.80577299584+4.0512513906730625i            18000.216687214488                                2.518966484739202E-15
2.9999999999999627                                2                                                 4.999999999999918                                 10000                                             291721.1986599969+8.103355345935343i              18000.025064083547                                1.3972377004542621E-14
2.9999999999999627                                2                                                 4.999999999999918                                 10000                                             437650.55478267616+12.157023260059823i            17999.90612095714                                 4.020815915664585E-14
2.9999999999999627                                2                                                 4.999999999999918                                 10000                                             583662.4695632537+16.212455317032685i             18000.434176987143                                8.72262939850284E-14
2.999999999999981                                 2.999999999999981                                 2                                                 20000.000000000124                                146994.84328221992+4.083307805704295i             17999.481091882168                                2.9744500339099418E-15
2.999999999999981                                 2.999999999999981                                 2                                                 20000.000000000124                                294021.54434309324+8.167213450768376i             18000.113876993983                                1.5738910724262807E-14
2.999999999999981                                 2.999999999999981                                 2                                                 20000.000000000124                                441109.8853890953+12.252538436290685i             18000.755014266146                                4.404710550323056E-14
2.999999999999981                                 2.999999999999981                                 2                                                 20000.000000000124                                588291.6577861357+16.331235585121416i             18011.241547519174                                9.440942711240239E-14
2.9999999999999845                                2.9999999999999845                                2                                                 14999.999999999745                                146453.3325594709+4.067982607187067i              18000.732390143596                                2.862981927578684E-15
2.9999999999999845                                2.9999999999999845                                2                                                 14999.999999999745                                292931.4158363093+8.136889149389084i              18000.20932190685                                 1.5346055321802174E-14
2.9999999999999845                                2.9999999999999845                                2                                                 14999.999999999745                                439467.59432143264+12.207616986158175i            17999.728973301077                                4.324192119841557E-14
2.9999999999999845                                2.9999999999999845                                2                                                 14999.999999999745                                586090.0331304031+15.510807916260967i             18892.956327437212                                9.268368491198728E-14
3.000000000000141                                 3.000000000000141                                 2                                                 9999.999999999915                                 145955.11557504415+4.0543535768860925i            17999.80105424637                                 2.645640609851881E-15
3.000000000000141                                 3.000000000000141                                 2                                                 9999.999999999915                                 291938.87970970204+8.109430475155479i             17999.961933461334                                1.452259461889578E-14
3.000000000000141                                 3.000000000000141                                 2                                                 9999.999999999915                                 437977.5703604945+12.166036699589954i             18000.01024060908                                 4.153148503446553E-14
3.000000000000141                                 3.000000000000141                                 2                                                 9999.999999999915                                 584099.796818407+15.850988570161016i              18424.711942508617                                8.965449581287197E-14
2.9999999999999787                                2.9999999999999787                                2.9999999999999787                                19999.999999999553                                146930.3431002519+4.081488156570207i              17999.604245296217                                2.843382484383919E-15
2.9999999999999787                                2.9999999999999787                                2.9999999999999787                                19999.999999999553                                293892.6253368385+8.16370949752577i               17999.943862891927                                1.5164542770706223E-14
2.9999999999999787                                2.9999999999999787                                2.9999999999999787                                19999.999999999553                                440916.3257845616+12.247698853178578i             17999.965996475083                                4.266087769829684E-14
2.9999999999999787                                2.9999999999999787                                2.9999999999999787                                19999.999999999553                                588033.4916441526+16.627800593722974i             17682.239101006755                                9.169789537716121E-14
3.0000000000000258                                3.0000000000000258                                3.0000000000000258                                15000.000000000204                                146384.89786155245+4.066204657032664i             18000.188161750368                                2.7387391216206687E-15
3.0000000000000258                                3.0000000000000258                                3.0000000000000258                                15000.000000000204                                292800.2480250793+8.133337969740781i              18000.00498653857                                 1.477483995491974E-14
3.0000000000000258                                3.0000000000000258                                3.0000000000000258                                15000.000000000204                                439272.5621938702+12.202049635023423i             17999.94981716189                                 4.182401348325265E-14
3.0000000000000258                                3.0000000000000258                                3.0000000000000258                                15000.000000000204                                585831.3431988085+16.273361698987976i             17999.702643961155                                9.000298874866633E-14
2.999999999999926                                 2.999999999999926                                 2.999999999999926                                 9999.999999999543                                 145891.65128242288+4.052573928703296i             17999.875369219604                                2.5363530880578108E-15
2.999999999999926                                 2.999999999999926                                 2.999999999999926                                 9999.999999999543                                 291810.0750794363+8.105784140004973i              18000.113871725465                                1.4004376343839188E-14
2.999999999999926                                 2.999999999999926                                 2.999999999999926                                 9999.999999999543                                 437783.9239732665+12.160827575542232i             17999.758702841533                                4.0192896277413703E-14
2.999999999999926                                 2.999999999999926                                 2.999999999999926                                 9999.999999999543                                 583840.2345438271+16.19435685711288i              18026.039554864972                                8.702297795884163E-14
3.000000000000008                                 3.000000000000008                                 4.999999999999946                                 19999.999999999818                                146882.37512003508+4.080040455367636i             18000.112587952433                                2.825630351851141E-15
3.000000000000008                                 3.000000000000008                                 4.999999999999946                                 19999.999999999818                                293794.14761218743+8.160485024607702i             18001.022410202895                                1.5123499164000412E-14
3.000000000000008                                 3.000000000000008                                 4.999999999999946                                 19999.999999999818                                440768.1162176662+12.245923461531282i             17996.524214865418                                4.266883356274776E-14
3.000000000000008                                 3.000000000000008                                 4.999999999999946                                 19999.999999999818                                587835.9656676389+16.342505261064172i             17984.879193159817                                8.728718492957519E-14
2.9999999999999245                                2.9999999999999245                                4.999999999999793                                 14999.999999999947                                146335.4277396403+4.064987977154459i              17999.490842538395                                2.7201905512838566E-15
2.9999999999999245                                2.9999999999999245                                4.999999999999793                                 14999.999999999947                                292701.35890390625+8.12985990128369i              18001.62379536839                                 1.474056553483362E-14
2.9999999999999245                                2.9999999999999245                                4.999999999999793                                 14999.999999999947                                439124.0579052579+12.20056897591886i              17996.048330695776                                4.183950038376027E-14
2.9999999999999245                                2.9999999999999245                                4.999999999999793                                 14999.999999999947                                585633.0291714977+16.349221865115325i             17910.119331766953                                8.589929701931976E-14
3.000000000000116                                 3.000000000000116                                 5.0000000000002                                   10000.00000000041                                 145841.1733969736+4.051252912271297i              17999.514786552405                                2.517825882153737E-15
3.000000000000116                                 3.000000000000116                                 5.0000000000002                                   10000.00000000041                                 291710.9257577463+8.103319857484252i              17999.470025135903                                1.3967504448625743E-14
3.000000000000116                                 3.000000000000116                                 5.0000000000002                                   10000.00000000041                                 437635.50494036195+12.155771351249653i            18001.140869410418                                4.019634796754747E-14
3.000000000000116                                 3.000000000000116                                 5.0000000000002                                   10000.00000000041                                 583643.045132805+15.829435840809301i              18435.37100760571                                 8.338329264442754E-14
